symbol,side,timestamp,price,qty,average_entry_price,balance
BTCUSDT,BUY,2026-02-27 00:47:25.480,67503.68,0.00044397579509739324,67503.68,89.99
ETHUSDT,BUY,2026-02-27 00:47:25.773,2027.85,0.014779199644944153,2027.85,79.97999999999999
SOLUSDT,BUY,2026-02-27 00:47:26.035,85.86,0.3490566037735849,85.86,69.96999999999998
BTCUSDT,BUY,2026-02-27 00:47:36.311,67501.23,0.0004439919094807606,67502.45497776933,59.95999999999999
ETHUSDT,BUY,2026-02-27 00:47:36.572,2027.52,0.014781605113636364,2027.6849865733582,49.94999999999999
ETHUSDT,SELL,2026-02-27 01:53:32.499,2016.77,0.029560804758580517,2027.6849865733582,69.54772686874946
SOLUSDT,BUY,2026-02-27 01:53:32.998,85.82,0.34921929620135167,85.83999534016775,59.537726868749466
BTCUSDT,SELL,2026-02-27 01:53:48.419,67254.32,0.0008879677045781538,67502.45497776933,79.23767135796072
SOLUSDT,BUY,2026-02-27 01:53:49.049,85.82,0.34921929620135167,85.8333291915819,69.22767135796072
SOLUSDT,BUY,2026-02-27 01:53:59.870,85.76,0.34946361940298504,85.81498513990886,59.21767135796072
SOLUSDT,BUY,2026-02-27 01:54:10.840,85.73,0.3495859092499708,85.79797463511879,49.20767135796072
SOLUSDT,BUY,2026-02-27 01:54:21.798,85.71,0.3496674833741687,85.78329965653487,39.19767135796072
